ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
14,0.0001684,1.2028571428571428e-05,0.001110335,7.930964285714287e-05,"('~', 0, ""<method 'sort' of 'list' objects>"")"
162244,0.014744894000000001,9.088098173121966e-08,0.014744894000000001,9.088098173121966e-08,"('~', 0, ""<method 'get' of 'dict' objects>"")"
2137,0.000227838,1.0661581656527844e-07,0.000227838,1.0661581656527844e-07,"('~', 0, ""<method 'setdefault' of 'dict' objects>"")"
12535,0.0013354220000000002,1.0653546071001198e-07,0.0013354220000000002,1.0653546071001198e-07,"('~', 0, ""<method 'pop' of 'dict' objects>"")"
80,1.8663e-05,2.332875e-07,1.8663e-05,2.332875e-07,"('~', 0, ""<method 'keys' of 'dict' objects>"")"
3614,0.00042339000000000005,1.1715273934698396e-07,0.00042339000000000005,1.1715273934698396e-07,"('~', 0, ""<method 'items' of 'dict' objects>"")"
4,4.5800000000000005e-07,1.1450000000000001e-07,4.5800000000000005e-07,1.1450000000000001e-07,"('~', 0, ""<method 'values' of 'dict' objects>"")"
3,1.4990000000000002e-06,4.996666666666668e-07,1.4990000000000002e-06,4.996666666666668e-07,"('~', 0, ""<method 'update' of 'dict' objects>"")"
2,4.99e-07,2.495e-07,4.99e-07,2.495e-07,"('~', 0, ""<method 'clear' of 'dict' objects>"")"
7,2.4170000000000003e-06,3.4528571428571433e-07,2.4170000000000003e-06,3.4528571428571433e-07,"('~', 0, ""<method 'copy' of 'dict' objects>"")"
75,2.341e-05,3.1213333333333335e-07,2.341e-05,3.1213333333333335e-07,"('~', 0, ""<method 'index' of 'range' objects>"")"
34711,0.003515737,1.0128596122266716e-07,0.003515737,1.0128596122266716e-07,"('~', 0, ""<method 'add' of 'set' objects>"")"
19,2.624e-06,1.3810526315789476e-07,2.624e-06,1.3810526315789476e-07,"('~', 0, ""<method 'pop' of 'set' objects>"")"
320,6.749200000000001e-05,2.1091250000000004e-07,6.749200000000001e-05,2.1091250000000004e-07,"('~', 0, '<built-in method __new__ of type object at 0x105853cf0>')"
580,6.540900000000001e-05,1.127741379310345e-07,6.540900000000001e-05,1.127741379310345e-07,"('~', 0, ""<method 'encode' of 'str' objects>"")"
1364,0.000381628,2.797859237536657e-07,0.000381628,2.797859237536657e-07,"('~', 0, ""<method 'replace' of 'str' objects>"")"
27109,0.0038211910000000003,1.4095654579659894e-07,0.0038211910000000003,1.4095654579659894e-07,"('~', 0, ""<method 'split' of 'str' objects>"")"
1100,0.00020992300000000002,1.9083909090909094e-07,0.00021288100000000002,1.9352818181818185e-07,"('~', 0, ""<method 'join' of 'str' objects>"")"
108,1.6497e-05,1.5275000000000001e-07,1.6497e-05,1.5275000000000001e-07,"('~', 0, ""<method 'find' of 'str' objects>"")"
105,2.2037000000000003e-05,2.098761904761905e-07,2.2037000000000003e-05,2.098761904761905e-07,"('~', 0, ""<method 'lower' of 'str' objects>"")"
81,1.0836000000000001e-05,1.337777777777778e-07,1.0836000000000001e-05,1.337777777777778e-07,"('~', 0, ""<method 'rfind' of 'str' objects>"")"
1658,0.000233405,1.4077503015681544e-07,0.000233405,1.4077503015681544e-07,"('~', 0, ""<method 'strip' of 'str' objects>"")"
156,3.0405e-05,1.9490384615384615e-07,3.0405e-05,1.9490384615384615e-07,"('~', 0, ""<method 'upper' of 'str' objects>"")"
29974,0.0028212750000000003,9.412407419763797e-08,0.0028212750000000003,9.412407419763797e-08,"('~', 0, ""<method 'startswith' of 'str' objects>"")"
31,2.9180000000000003e-06,9.412903225806453e-08,2.9180000000000003e-06,9.412903225806453e-08,"('~', 0, ""<method 'endswith' of 'str' objects>"")"
467,0.00016033800000000002,3.4333618843683087e-07,0.00016033800000000002,3.4333618843683087e-07,"('~', 0, ""<method 'format' of 'str' objects>"")"
747,6.580300000000001e-05,8.80896921017403e-08,6.580300000000001e-05,8.80896921017403e-08,"('~', 0, '<built-in method _warnings._filters_mutated>')"
453,0.00019353100000000001,4.2722075055187643e-07,0.000541221,1.2704718309859157e-06,"('~', 0, '<built-in method builtins.all>')"
80,5.3088000000000004e-05,6.636000000000001e-07,0.000303126,3.7890750000000002e-06,"('~', 0, '<built-in method builtins.any>')"
5608,0.000460231,8.206686875891583e-08,0.000460231,8.206686875891583e-08,"('~', 0, '<built-in method builtins.callable>')"
220440,0.015354321,6.965306205770278e-08,0.017482710000000002,7.930824714207949e-08,"('~', 0, '<built-in method builtins.getattr>')"
10714,0.0017274240000000002,1.6123053948105285e-07,0.003297061,3.816042824074074e-07,"('~', 0, '<built-in method builtins.hasattr>')"
10283,0.0008312310000000001,8.083545657881942e-08,0.0008312310000000001,8.083545657881942e-08,"('~', 0, '<built-in method builtins.hash>')"
6,7.08e-07,1.1800000000000001e-07,7.08e-07,1.1800000000000001e-07,"('~', 0, '<built-in method builtins.id>')"
264208,0.020601418,7.797423999273299e-08,0.025200187000000002,9.542416864203329e-08,"('~', 0, '<built-in method builtins.isinstance>')"
8726,0.0007594110000000001,8.702853541141417e-08,0.0007594110000000001,8.702853541141417e-08,"('~', 0, '<built-in method builtins.issubclass>')"
1,2.91e-07,2.91e-07,2.91e-07,2.91e-07,"('~', 0, '<built-in method builtins.iter>')"
131537,0.010257171,7.797935941978304e-08,0.013533427,1.141444873654735e-07,"('~', 0, '<built-in method builtins.len>')"
2,9.625e-06,4.8125e-06,9.625e-06,4.8125e-06,"('~', 0, '<built-in method builtins.locals>')"
1,3.3300000000000003e-07,3.3300000000000003e-07,3.3300000000000003e-07,3.3300000000000003e-07,"('~', 0, '<built-in method builtins.next>')"
2,2.5000000000000004e-07,1.2500000000000002e-07,2.5000000000000004e-07,1.2500000000000002e-07,"('~', 0, '<built-in method builtins.ord>')"
1097,0.0036581950000000004,3.334726526891523e-06,0.004041687,3.6843090246125803e-06,"('~', 0, '<built-in method builtins.print>')"
578,0.000195428,3.3811072664359865e-07,0.001751399,3.0301020761245675e-06,"('~', 0, '<built-in method builtins.setattr>')"
2271,0.00062803,2.7654337296345224e-07,0.000725095,3.192844561867019e-07,"('~', 0, '<built-in method builtins.sorted>')"
2,5.420000000000001e-07,2.7100000000000003e-07,5.420000000000001e-07,2.7100000000000003e-07,"('~', 0, '<built-in method sys.getfilesystemencoding>')"
27,4.75e-06,1.7592592592592594e-07,4.75e-06,1.7592592592592594e-07,"('~', 0, '<built-in method sys._getframe>')"
5,3.15e-05,6.3e-06,3.15e-05,6.3e-06,"('~', 0, '<built-in method posix.stat>')"
27,3.457e-06,1.2803703703703704e-07,3.457e-06,1.2803703703703704e-07,"('~', 0, '<built-in method posix.getpid>')"
142,1.1792e-05,8.304225352112677e-08,1.1792e-05,8.304225352112677e-08,"('~', 0, '<built-in method posix.fspath>')"
2,2.042e-06,1.021e-06,2.042e-06,1.021e-06,"('~', 0, '<built-in method _codecs.lookup>')"
6,9.912400000000001e-05,1.652066666666667e-05,9.912400000000001e-05,1.652066666666667e-05,"('~', 0, '<built-in method _codecs.utf_8_decode>')"
2,8.340000000000001e-07,4.1700000000000004e-07,8.340000000000001e-07,4.1700000000000004e-07,"('~', 0, '<built-in method _codecs.lookup_error>')"
584,5.1793000000000004e-05,8.868664383561645e-08,5.1793000000000004e-05,8.868664383561645e-08,"('~', 0, ""<method 'append' of 'collections.deque' objects>"")"
584,5.8527000000000004e-05,1.0021746575342466e-07,5.8527000000000004e-05,1.0021746575342466e-07,"('~', 0, ""<method 'popleft' of 'collections.deque' objects>"")"
3,8.0457e-05,2.6819000000000002e-05,8.283300000000001e-05,2.7611000000000004e-05,"('~', 0, '<built-in method _io.open>')"
54,8.208e-06,1.52e-07,8.208e-06,1.52e-07,"('~', 0, ""<method 'flush' of '_io._IOBase' objects>"")"
1,4.333e-06,4.333e-06,4.333e-06,4.333e-06,"('~', 0, ""<method '__exit__' of '_io._IOBase' objects>"")"
27,1.0375000000000001e-05,3.842592592592593e-07,1.0375000000000001e-05,3.842592592592593e-07,"('~', 0, ""<method 'write' of '_io.TextIOWrapper' objects>"")"
1,9.483400000000001e-05,9.483400000000001e-05,0.000153542,0.000153542,"('~', 0, ""<method 'read' of '_io.TextIOWrapper' objects>"")"
27,0.00019054100000000002,7.057074074074075e-06,0.00019054100000000002,7.057074074074075e-06,"('~', 0, ""<method 'flush' of '_io.TextIOWrapper' objects>"")"
2,1.3543e-05,6.7715e-06,1.3543e-05,6.7715e-06,"('~', 0, ""<method 'close' of '_io.TextIOWrapper' objects>"")"
27,4.1123000000000006e-05,1.5230740740740744e-06,4.1123000000000006e-05,1.5230740740740744e-06,"('~', 0, ""<method 'tell' of '_io.TextIOWrapper' objects>"")"
54,1.2579000000000001e-05,2.3294444444444445e-07,1.2579000000000001e-05,2.3294444444444445e-07,"('~', 0, ""<method 'write' of '_io.StringIO' objects>"")"
16,6.7090000000000005e-06,4.1931250000000003e-07,6.7090000000000005e-06,4.1931250000000003e-07,"('~', 0, ""<method 'match' of 're.Pattern' objects>"")"
1168,0.000208619,1.7861215753424657e-07,0.000208619,1.7861215753424657e-07,"('~', 0, ""<method 'search' of 're.Pattern' objects>"")"
537,0.00023831200000000002,4.4378398510242087e-07,0.00023831200000000002,4.4378398510242087e-07,"('~', 0, ""<method 'finditer' of 're.Pattern' objects>"")"
1514,0.00018583600000000001,1.2274504623513871e-07,0.00018583600000000001,1.2274504623513871e-07,"('~', 0, ""<method 'group' of 're.Match' objects>"")"
2,6.240000000000001e-07,3.1200000000000004e-07,6.240000000000001e-07,3.1200000000000004e-07,"('~', 0, ""<method 'end' of 're.Match' objects>"")"
54,6.4170000000000006e-06,1.1883333333333335e-07,6.4170000000000006e-06,1.1883333333333335e-07,"('~', 0, '<built-in method _thread.get_ident>')"
165,1.7923e-05,1.0862424242424243e-07,1.7923e-05,1.0862424242424243e-07,"('~', 0, ""<method '__exit__' of '_thread.RLock' objects>"")"
8,1.3320000000000001e-06,1.6650000000000002e-07,1.3320000000000001e-06,1.6650000000000002e-07,"('~', 0, '<built-in method time.time>')"
27,4.664000000000001e-06,1.7274074074074075e-07,4.664000000000001e-06,1.7274074074074075e-07,"('~', 0, '<built-in method time.time_ns>')"
54,4.3291e-05,8.016851851851853e-07,4.3291e-05,8.016851851851853e-07,"('~', 0, '<built-in method time.localtime>')"
54,5.9538000000000005e-05,1.1025555555555556e-06,5.9538000000000005e-05,1.1025555555555556e-06,"('~', 0, '<built-in method time.strftime>')"
508,9.800000000000001e-05,1.9291338582677168e-07,9.800000000000001e-05,1.9291338582677168e-07,"('~', 0, '<built-in method time.perf_counter>')"
9321,0.00143311,1.537506705289132e-07,0.00143311,1.537506705289132e-07,"('~', 0, '<built-in method _abc._abc_instancecheck>')"
54,2.0294000000000003e-05,3.7581481481481485e-07,0.00012312300000000002,2.280055555555556e-06,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 630, 'formatTime')"
81,6.067300000000001e-05,7.490493827160495e-07,0.000687003,8.48151851851852e-06,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 1138, 'emit')"
54,3.1589e-05,5.849814814814814e-07,0.00034467300000000004,6.382833333333334e-06,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/_pytest/logging.py', 369, 'emit')"
81,7.4077e-05,9.145308641975309e-07,0.001133714,1.399646913580247e-05,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 1010, 'handle')"
27,1.2790000000000001e-05,4.7370370370370375e-07,0.00039387600000000004,1.4588000000000002e-05,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 1250, 'emit')"
54,5.3416000000000005e-05,9.891851851851853e-07,5.3416000000000005e-05,9.891851851851853e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 463, '_format')"
54,3.0587000000000004e-05,5.66425925925926e-07,0.000185758,3.439962962962963e-06,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/_pytest/logging.py', 133, 'format')"
27,2.1665e-05,8.024074074074074e-07,0.000314331,1.1641888888888889e-05,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 1625, 'makeRecord')"
82,2.9996000000000002e-05,3.658048780487805e-07,5.1749e-05,6.310853658536586e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 197, '_is_internal_frame')"
27,1.8868e-05,6.988148148148148e-07,0.001201707,4.450766666666667e-05,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 1666, 'handle')"
3,2.7050000000000004e-06,9.016666666666668e-07,7.208e-06,2.402666666666667e-06,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 2128, 'getLogger')"
